기간	자치구	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	합계	한국은행	우리은행	SC제일은행	KB국민은행	한국외환은행	신한은행	한국씨티은행	하나은행	지방은행	IBK기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	외국은행
2012	서초구	242	-	35	18	33	20	43	15	32	2	18	14	4	5	1	2
2012	강남구	408	1	63	31	61	26	61	32	47	7	26	33	8	9	-	3
2012	송파구	174	-	31	14	26	10	28	10	24	2	10	12	5	2	-	-
2012	강동구	82	-	17	6	16	4	11	3	12	-	6	5	2	-	-	-
2013	합계	2,613	2	470	164	443	153	396	86	311	31	223	202	57	30	2	43
2013	종로구	142	-	25	10	23	12	19	3	12	-	9	15	1	2	-	11
2013	중구	229	1	39	11	29	13	39	5	20	7	18	15	5	2	-	25
2013	용산구	96	-	18	7	13	5	12	4	14	-	11	11	-	1	-	-
2013	성동구	63	-	12	6	12	2	9	3	7	-	6	5	-	1	-	-
2013	광진구	68	-	12	5	15	6	11	2	8	-	5	2	1	-	-	1
2013	동대문구	72	-	15	4	13	4	8	1	9	-	7	8	3	-	-	-
2013	중랑구	38	-	8	3	9	2	6	-	4	-	2	2	2	-	-	-
2013	성북구	80	-	15	6	15	3	11	1	15	1	6	6	1	-	-	-
2013	강북구	37	-	6	2	8	2	4	-	6	-	4	3	2	-	-	-
2013	도봉구	38	-	6	2	8	2	8	1	4	-	2	4	1	-	-	-
2013	노원구	72	-	15	2	17	1	9	2	9	-	7	7	1	2	-	-
2013	은평구	53	-	9	2	10	3	9	1	6	-	5	5	3	-	-	-
2013	서대문구	65	-	14	4	11	3	9	1	10	-	7	5	-	1	-	-
2013	마포구	106	-	18	6	16	7	15	2	15	2	11	9	4	1	-	-
2013	양천구	84	-	13	10	15	6	16	3	10	-	5	5	1	-	-	-
2013	강서구	76	-	14	3	15	3	16	1	8	-	7	6	3	-	-	-
2013	구로구	78	-	14	6	13	7	9	-	9	3	13	4	-	-	-	-
2013	금천구	67	-	13	4	10	3	7	-	6	1	13	6	2	2	-	-
2013	영등포구	153	-	28	10	26	6	21	4	17	5	16	11	5	2	1	1
2013	동작구	64	-	13	2	14	3	13	1	8	-	3	6	1	-	-	-
2013	관악구	60	-	15	4	12	2	10	1	4	-	5	5	2	-	-	-
2013	서초구	234	-	36	15	34	19	42	13	30	2	18	13	4	5	1	2
2013	강남구	390	1	65	24	61	25	57	26	46	7	26	32	8	9	-	3
2013	송파구	165	-	30	11	27	10	25	8	23	2	10	12	5	2	-	-
2013	강동구	83	-	17	5	17	4	11	3	11	1	7	5	2	-	-	-
2014	합계	2,481	2	463	130	429	148	382	54	298	30	219	198	58	30	2	38
